Name, Designator, Quantity, Manufacturer Part, Manufacturer
100nF, C1, 1, CL05B104KO5NNNC, SAMSUNG(三星)
100nF, C2, 1, CL05B104KO5NNNC, SAMSUNG(三星)
100nF, C3, 1, CL05B104KO5NNNC, SAMSUNG(三星)
47uF, C4, 1, CL21A476MQYNNNE, SAMSUNG
A2541WV-2X3P, H1, 1, A2541WV-2x3P, Changjiang Connectors
MF254V-11-02-0743, H3, 1, MF254V-11-02-0743, XFCN(兴飞)
MF254V-11-02-0743, H4, 1, MF254V-11-02-0743, XFCN(兴飞)
whiteLEDSMD, LED2, 1, KT-0805W, KENTO
470Ω, R1, 1, 0402WGF4700TCE, UNI-ROYAL(厚声)
100K, R2, 1, 0402WGF1003TCE, UniOhm
100K, R5, 1, 0402WGF1003TCE, UniOhm
1kΩ, R3, 1, 0402WGF1001TCE, UNI-ROYAL(厚声)
10kΩ, R4, 1, 0402WGF1002TCE, UNI-ROYAL(厚声)
1MΩ, R6, 1, 0402WGF1004TCE, UNI-ROYAL(厚声)
K2-6639SP-O4SC-04, SW1, 1, K2-6639SP-O4SC-04, Korean Hroparts Elec
ATTINY85-20SUR, U1, 1, ATTINY85-20SUR, MICROCHIP(美国微芯)
MCP6001T-I/OT, U2, 1, MCP6001T-I/OT, MICROCHIP
